Sample_Date,ChlA_C,PheoPhy_C,Microcystin_C,ChlA_BC,PheoPhy_BC,Microcystin_BC,ChlA_IG,PheoPhy_IG,Microcystin_IG
10/20/2015,,,,,,,2.21,0.65,0.25
4/13/2016,2.93,1.09,,3.63,2.23,,4.38,1.21,
5/11/2016,1.74,0.65,0.18,2.68,1.37,0.18,7.59,2.49,0.18
7/12/2016,11.33,1.19,6.2,3.44,1.22,0.89,13.02,0.83,0.2
8/10/2016,11.33,1.19,22,13.67,1.85,3.6,31.87,2.46,15
9/6/2016,4.22,0.81,0.99,1.26,0.87,0.44,8.64,1.21,6.4
11/8/2016,6.05,0.69,,1.62,0.82,,1.82,0.36,
8/7/2017,22.28,0.53,2.4,11.59,1.46,0.54,39.45,1.59,14
9/11/2017,2058,0.38,2100,149.54,3.74,7.9,111.41,0.38,8.1
10/9/2017,18.01,2.36,2.5,12.33,2.9,2.2,7.43,2.13,0.28
12/11/2017,,,,1.9,1.98,,2.43,0.94,
3/17/2018,14.48,3.71,,10.76,3.54,,4.84,0.98,
4/21/2018,16.33,4.12,,23.83,5.57,,2.51,0.93,
5/12/2018,2.02,0.48,0.15,4.47,1.38,0.15,0.82,0.46,0.15
6/9/2018,2.99,1.16,0.15,2.05,0.86,0.15,2.44,0.58,0.15
8/11/2018,289.11,104.01,18,112.58,38.42,5.7,76.23,38.07,9
9/17/2018,9.86,0.86,1,56.13,1.44,66,818.79,0.46,570
10/13/2018,4.7,1.09,,1.31,1.25,0.4,9.34,0.89,0.3
11/17/2018,,,,1.85,1.32,,,,
3/16/2019,4.96,2.33,,6.15,3.19,,6.26,2.25,
4/6/2019,25,8.83,,18.29,7.36,,4.49,2.16,
5/4/2019,2.92,0.52,,2.89,1.07,,3.06,0.82,
6/8/2019,3.93,1.15,,4.13,1.52,,5.83,1.46,
7/8/2019,51.76,2.1,4.8,19.92,5.1,2.5,9.74,2.43,1.4
8/5/2019,3270,0.46,4600,240,9.3,120,40.04,2.75,11
9/9/2019,26.9,1.81,2.6,281.42,15.45,56,102.39,5.03,15
10/5/2019,47.25,1.5,1.3,3.71,1.64,,,,
11/9/2019,1.12,0.78,,1.19,1.43,,,,
6/9/2020,5.73,1.27,0.4,7.61,1.94,0.15,4.19,1.25,0.15
7/8/2020,13.39,3.35,27,9.41,3.52,0.15,10.84,4.1,0.23
8/5/2020,519.52,0.46,4.2,45.3,1.1,3.3,20.92,1.25,1.7
9/16/2020,5.89,0.73,0.49,743.25,0.46,840,30.04,1.11,2.6
10/11/2020,2.22,1.27,,11.19,1.81,2.4,38.8,1.26,1.2
12/6/2020,1.12,1.3,,1.51,1.69,,2.7,1,
