Sample_Date,Sentinel_Date,Sample_Location,B3B2_Mean,B4B8A_Mean,NDCI_Mean,NDVI_Mean,ChlA,PheoPhy,Microcystin,Days_Since_Sample
4/13/2016,4/8/2016,BelowCopco,0.077,0.204,0.06,0.069,3.63,2.23,,5
5/11/2016,5/8/2016,BelowCopco,0.222,0.008,-0.006,-0.038,2.68,1.37,0.18,3
7/12/2016,7/7/2016,BelowCopco,0.255,0.207,0.064,0.108,3.44,1.22,0.89,5
8/10/2016,8/16/2016,BelowCopco,0.135,0.06,0.011,0.044,13.67,1.85,3.6,6
9/6/2016,9/5/2016,BelowCopco,0.127,0.13,0.017,0.072,1.26,0.87,0.44,1
11/8/2016,11/4/2016,BelowCopco,0.145,-0.089,-0.046,-0.041,1.62,0.82,,4
8/7/2017,8/6/2017,BelowCopco,0.155,0.092,-0.007,0.012,11.59,1.46,0.54,1
9/11/2017,9/15/2017,BelowCopco,0.151,0.103,0.007,0.045,149.54,3.74,7.9,4
10/9/2017,10/10/2017,BelowCopco,0.043,0.142,0.046,0.056,12.33,2.9,2.2,1
12/11/2017,12/9/2017,BelowCopco,0.069,0.207,0.052,0.162,1.9,1.98,,2
3/17/2018,3/19/2018,BelowCopco,0.167,-0.19,-0.057,-0.198,10.76,3.54,,2
4/21/2018,4/23/2018,BelowCopco,0.21,0.005,0.016,-0.031,23.83,5.57,,2
5/12/2018,5/13/2018,BelowCopco,0.234,0.064,0.012,0.055,4.47,1.38,0.15,1
6/9/2018,6/7/2018,BelowCopco,0.121,0.178,0.062,0.084,2.05,0.86,0.15,2
8/11/2018,8/11/2018,BelowCopco,0.109,0.077,0.038,0.037,112.58,38.42,5.7,0
9/17/2018,9/20/2018,BelowCopco,0.224,-0.024,0.009,-0.015,56.13,1.44,66,3
10/13/2018,10/15/2018,BelowCopco,0.199,0.028,-0.046,-0.031,1.31,1.25,0.4,2
11/17/2018,11/19/2018,BelowCopco,0.148,0.201,0.083,0.097,1.85,1.32,,2
3/16/2019,3/14/2019,BelowCopco,0.07,-0.001,0.001,-0.01,6.15,3.19,,2
5/4/2019,5/3/2019,BelowCopco,0.116,0.216,0.048,0.13,2.89,1.07,,1
6/8/2019,6/12/2019,BelowCopco,0.228,0.053,-0.07,0.007,4.13,1.52,,4
7/8/2019,7/7/2019,BelowCopco,0.244,0.111,-0.004,0.072,19.92,5.1,2.5,1
8/5/2019,8/1/2019,BelowCopco,0.351,0.41,0.321,0.344,240,9.3,120,4
9/9/2019,9/10/2019,BelowCopco,0.212,0.281,0.344,0.31,281.42,15.45,56,1
10/5/2019,10/5/2019,BelowCopco,0.151,0.234,0.087,0.141,3.71,1.64,,0
11/9/2019,11/4/2019,BelowCopco,0.178,-0.073,-0.013,-0.032,1.19,1.43,,5
6/9/2020,6/11/2020,BelowCopco,0.123,0.199,0.038,0.111,7.61,1.94,0.15,2
7/8/2020,7/6/2020,BelowCopco,0.214,0.076,0.01,-0.001,9.41,3.52,0.15,2
8/5/2020,8/5/2020,BelowCopco,0.331,0.573,0.338,0.544,45.3,1.1,3.3,0
9/16/2020,9/14/2020,BelowCopco,0.066,0.162,0.039,0.101,743.25,0.46,840,2
10/11/2020,10/9/2020,BelowCopco,0.143,0.147,0.051,0.086,11.19,1.81,2.4,2
12/6/2020,12/8/2020,BelowCopco,0.178,-0.237,-0.086,-0.237,1.51,1.69,,2
