Sample_Date,Sentinel_Date,Sample_Location,B3B2_Mean,B4B8A_Mean,NDCI_Mean,NDVI_Mean,ChlA,PheoPhy,Microcystin,Days_Since_Sample
4/13/2016,4/8/2016,Copco,0.117,-0.006,-0.006,-0.056,2.93,1.09,,5
5/11/2016,5/8/2016,Copco,0.179,-0.216,-0.06,-0.174,1.74,0.65,0.18,3
7/12/2016,7/7/2016,Copco,0.197,-0.111,-0.019,-0.056,11.33,1.19,6.2,5
8/11/2016,8/16/2016,Copco,0.263,-0.115,0.139,-0.084,11.33,1.19,22,5
9/7/2016,9/5/2016,Copco,0.065,0.048,0.017,0.035,4.22,0.81,0.99,2
11/8/2016,11/4/2016,Copco,0.169,-0.283,-0.117,-0.213,6.05,0.69,,4
8/7/2017,8/6/2017,Copco,0.276,0.03,0.206,0.037,22.28,0.53,2.4,1
9/11/2017,9/15/2017,Copco,0.149,-0.079,0.011,-0.052,2058,0.38,2100,4
10/10/2017,10/10/2017,Copco,0.031,0.121,0.079,0.095,18.01,2.36,2.5,0
3/17/2018,3/19/2018,Copco,0.155,-0.481,-0.088,-0.39,14.48,3.71,,2
4/21/2018,4/23/2018,Copco,0.177,-0.202,-0.033,-0.176,16.33,4.12,,2
5/13/2018,5/13/2018,Copco,0.211,-0.143,-0.075,-0.142,2.02,0.48,0.15,0
6/9/2018,6/7/2018,Copco,0.119,0.021,-0.006,0.032,2.99,1.16,0.15,2
8/11/2018,8/11/2018,Copco,0.149,-0.011,0.182,0.028,289.11,104.01,18,0
9/17/2018,9/20/2018,Copco,0.262,-0.257,-0.053,-0.191,9.86,0.86,1,3
10/13/2018,10/15/2018,Copco,0.194,-0.379,-0.1,-0.22,4.7,1.09,,2
3/16/2019,3/14/2019,Copco,0.079,-0.064,-0.008,-0.089,4.96,2.33,,2
5/4/2019,5/3/2019,Copco,0.153,-0.113,-0.026,-0.083,2.92,0.52,,1
6/8/2019,6/12/2019,Copco,0.247,-0.208,-0.039,-0.171,3.93,1.15,,4
7/8/2019,7/7/2019,Copco,0.409,-0.149,0.199,-0.078,51.76,2.1,4.8,1
8/5/2019,8/1/2019,Copco,0.369,0.524,0.508,0.576,3270,0.46,4600,4
9/9/2019,9/10/2019,Copco,0.06,-0.134,-0.004,-0.152,26.9,1.81,2.6,1
10/5/2019,10/5/2019,Copco,0.319,-0.206,0.056,-0.119,47.25,1.5,1.3,0
11/9/2019,11/4/2019,Copco,0.2,-0.324,-0.096,-0.235,1.12,0.78,0.15,5
6/9/2020,6/11/2020,Copco,0.105,0.055,-0.007,0.106,5.73,1.27,0.4,2
7/8/2020,7/6/2020,Copco,0.242,-0.149,0.001,-0.114,13.39,3.35,27,2
8/5/2020,8/5/2020,Copco,0.338,0.115,0.407,0.196,519.52,0.46,4.2,0
9/16/2020,9/14/2020,Copco,0.214,0.117,0.018,0.105,5.89,0.73,0.49,2
10/11/2020,10/9/2020,Copco,0.174,0.004,0.031,0.027,2.22,1.27,,2
12/6/2020,12/8/2020,Copco,0.232,-0.753,-0.141,-0.458,1.12,1.3,,2
