Sample_Date,Sentinel_Date,Sample_Location,B3B2_Mean,B4B8A_Mean,NDCI_Mean,NDVI_Mean,ChlA,PheoPhy,Microcystin,Days_Since_Sample
10/20/2015,10/21/2015,IronGate,0.136,-0.431,-0.144,-0.257,2.21,0.65,0.25,1
4/13/2016,4/8/2016,IronGate,0.08,0.091,0.019,0.035,4.38,1.21,,5
5/11/2016,5/8/2016,IronGate,0.129,-0.065,-0.026,-0.145,7.59,2.49,0.18,3
7/12/2016,7/7/2016,IronGate,0.151,-0.082,-0.044,-0.112,13.02,0.83,0.2,5
8/11/2016,8/16/2016,IronGate,0.141,-0.187,-0.035,-0.163,31.87,2.46,15,5
9/6/2016,9/5/2016,IronGate,0.141,-0.071,0.04,-0.062,8.64,1.21,6.4,1
11/8/2016,11/4/2016,IronGate,0.124,-0.344,-0.114,-0.225,1.82,0.36,,4
8/7/2017,8/6/2017,IronGate,0.223,-0.263,0.001,-0.225,39.45,1.59,14,1
9/11/2017,9/15/2017,IronGate,0.206,-0.186,0.058,-0.139,111.41,0.38,8.1,4
10/10/2017,10/10/2017,IronGate,0.018,-0.005,-0.007,-0.029,7.43,2.13,0.28,0
12/11/2017,12/9/2017,IronGate,0.014,0.055,-0.045,-0.048,2.43,0.94,,2
3/17/2018,3/19/2018,IronGate,0.137,-0.504,-0.137,-0.4,4.84,0.98,,2
4/21/2018,4/23/2018,IronGate,0.186,-0.172,-0.022,-0.178,2.51,0.93,,2
5/13/2018,5/13/2018,IronGate,0.167,-0.251,-0.076,-0.199,0.82,0.46,0.15,0
6/9/2018,6/7/2018,IronGate,0.186,-0.078,-0.045,-0.076,2.44,0.58,0.15,2
8/11/2018,8/11/2018,IronGate,0.247,-0.158,0.181,-0.096,76.23,38.07,9,0
9/17/2018,9/20/2018,IronGate,0.442,-0.232,0.358,-0.036,818.79,0.46,570,3
10/13/2018,10/15/2018,IronGate,0.198,-0.479,-0.139,-0.275,9.34,0.89,0.3,2
3/16/2019,3/14/2019,IronGate,0.085,-0.067,-0.022,-0.064,6.26,2.25,,2
5/4/2019,5/3/2019,IronGate,0.166,-0.287,-0.068,-0.252,3.06,0.82,,1
6/8/2019,6/12/2019,IronGate,0.226,-0.239,-0.072,-0.215,5.83,1.46,,4
7/8/2019,7/7/2019,IronGate,0.25,-0.198,-0.05,-0.147,9.74,2.43,1.4,1
8/5/2019,8/1/2019,IronGate,0.226,-0.182,-0.008,-0.151,40.04,2.75,11,4
9/9/2019,9/10/2019,IronGate,0.116,-0.164,0.079,-0.155,102.39,5.03,15,1
6/9/2020,6/11/2020,IronGate,0.094,0.07,-0.007,0.025,4.19,1.25,0.15,2
7/8/2020,7/6/2020,IronGate,0.212,-0.286,-0.073,-0.23,10.84,4.10,0.23,2
8/5/2020,8/5/2020,IronGate,0.2,-0.237,-0.048,-0.244,20.92,1.25,1.7,0
9/16/2020,9/14/2020,IronGate,0.098,0.027,0.109,0.002,30.04,1.11,2.6,2
10/11/2020,10/9/2020,IronGate,0.318,0.191,0.268,0.164,38.80,1.26,1.2,2
12/6/2020,12/8/2020,IronGate,0.195,-0.786,-0.32,-0.428,2.70,1.00,,2
,,,,,,,,,,
,,,,,,,,,,
